Terminal;Latitude;Longitude;Local;Tipo;TerminaisPanorama;;;;
ACT (ARM 38);-23.9800477579275; -46.29313866696162;Direita;Granel Sólido Vegetal;;;;;
ADM - CPB;-23.983543691254567;-46.29433523486475;Direita;Granel Sólido Vegetal;;;ÁREA STS 08;;
ADONAI;-23.92315443601134;-46.32815935089685;Ilha;Granel Líquido;;;;;
AGEO;-23.923621470324047;-46.32999869534483;Ilha;Granel Líquido;;;;;
AGEO LESTE;-23.920461171806583;-46.3275292050864;Ilha;Granel Líquido;;;TERMINAL EXPORTADOR DE SANTOS LTDA. (TES);;
AGEO NORTE - COPAPE;-23.92057014890296;-46.33079915077171;Ilha;Granel Líquido;;;;;
BANDEIRANTES;-23.949562543436354;-46.31291877940767;;;;;Adonai Química S/A.;;
BANDEIRANTES-DEICMAR;-23.949562543436354;-46.31291877940767;;;;;;;
BRACELL;-23.971491855295685;-46.29642227185743;Direita;Celulose;;;;;
BRACELL (ARM 15);-23.971491855295685;-46.29642227185743;Direita;Celulose;;;;;
BRASIL TERMINAL;-23.923874174715785;-46.34925571372126;Direita;Carga Geral;;;;;
BTP;-23.923874174715785;-46.34925571372126;Direita;Carga Geral;;;;;
BUNGE (PACIFICO) - PAQUETÁ;-23.93346355486413;-46.319100168636;Direita;Granel Sólido Vegetal;;;;;
BUNGE (SANTISTA) - MACUCO;-23.951434494947964;-46.31468329061423;Direita;Granel Sólido Vegetal;;;SANTOS BRASIL PARTICIPAÇÕES S/A;;
CAIS PÚBLICO - C;;;;;;;;;
CARGILL - TUP;-23.972229998533606;-46.28201394410927;;;;;;;
CBA;-23.965891797466643;-46.300918999261164;;;;;;;
CEREALSUL;-23.93617115021905;-46.31463691899758;;;;;TERMINAL XXXIX DE SANTOS S/A;;
CIRNE/SALMAC - ARM XII, XVII, SAL;-23.94888815334102;-46.314828096460566;Direita;;;;ELDORADO BRASIL CELULOSE S.A;;
CITROSUCO;-23.974679027463925;-46.275004597892114;Esquerda;Multipropósito;;;;;
CITROSUCO (SER. PASSAGEM);-23.960536174346245;-46.30477194667603;Direita;Sucos Cítricos;;;NST - TERMINAIS E LOGÍSTICA S/A (Celulose);;
CITROSUCO ARM XL;-23.960536174346245;-46.30477194667603;Direita;Sucos Cítricos;;;NST - TERMINAIS E LOGÍSTICA S/A (Sucos);;
COINBRA (ARM XLII);;;;;;;;;
COREX - CPB;;;;;;;MARIMEX DESPACHOS, TRANSPORTES E SERVIÇOS LTDA.;;
CUTRALE;-23.964013687271592;-46.30578993838097;;;;;TEC - TERMINAL EXPORT COFCO LTDA (SSZ 31);;
CUTRALE - TPO;-23.964013687271592;-46.30578993838097;;;;;;;
CUTRALE SABOO;-23.926925555852474;-46.33690458788242;;;;;;;
DEICMAR;-23.949702914177813;-46.31291403662638;Direita;Carga Geral;;;;;
DOW;-23.976891606112652;-46.27341172007166;Esquerda;Granel Líquido;;;;;
DPWORLD (EMBRAPORT);-23.92315785530254;-46.31752526859497;Ilha;Multipropósito;;;;;
ECOPORTO;-23.92938142137917;-46.33330270297487;Direita;Carga Geral;;;BRASIL TERMINAL PORTUÁRIO S/A (SABOÓ);;
ELEVAÇÕES (RUMO);-23.94077572006132;-46.31532582875859;Direita;Granel Sólido Vegetal;;;CONCAIS S/A - Filial;;
EMBRAPORT - TPF;-23.92315785530254;-46.31752526859497;Ilha;Multipropósito;;;;;
FISCHER (CITROSUCO);-23.960536174346245;-46.30477194667603;Direita;Sucos Cítricos;;;;;
GRANEL QUIMICA (ALAMOA);-23.923621909880623;-46.37834118515591;Direita;Granel Líquido;;;;;
GRANEL QUIMICA (ILHA);-23.920807347308628;-46.32739760389113;;;;;;;
HIDROVIAS DO BRASIL;-23.94888815334102;-46.314828096460566;Direita;Fertilizantes;;;Saipem do Brasil Serviços de Petroleo S/A;;
HIPERCON;-23.92755899023632;-46.35895697913151;;;;;;;
LIBRA 33;-23.970254992111496;-46.29686371322957;;;;;;;
LIBRA 35;-23.970254992111496;-46.29686371322957;;;;;;;
LIBRA 37;-23.978649002631947;-46.2917393724157;;;;;;;
LOCALFRIO;-23.96109872849568;-46.287402854435804;;;;;;;
MARIMEX;-23.928749058576887;-46.341666371548776;Direita;Carga Geral;;;;;
MESQUITA;;;;;;;CONPORTCE OPERADOR PORTUÁRIO CESARI LTDA;;
MOINHO SANTISTA;-23.934654718855448;-46.319605588835195;;;;;;;
NEVES & MARINHEIRO (M. PAULISTA);-23.93705716461722;-46.317035740237266;Direita;Granel Sólido Vegetal;;;Citrosuco S/A Agroindústria;;
NST;-23.956813478389755;-46.31068118857;Direita;Sucos Cítricos , Celulose;;;Bunge Alimentos S/A (Outeirinhos);;
PEROLA ARM XII XVII;-23.94888815334102;-46.314828096460566;Direita;;;;Neves & Marinheiro Ltda.;;
RHAMO;-23.946747232969333;-46.31484185812459;;;;;;;
RISHIS;-23.939330440197757;-46.3145098814024;;;;;;;
RODRIMAR;-23.925187545030003;-46.34477963433319;;;;;;;
RODRIMAR - ARM VIII;-23.925187545030003;-46.34477963433319;;;;;;;
SANTOS BRASIL;-23.961805350481832;-46.29274763227614;Esquerda;Carga Geral;;;;;
SANTOS BRASIL (SSZ35.2 Saboó);-23.924786510515773;-46.34604282230018;Direita;Multipropósito;;;;;
STOLTHAVEN;-23.926671421049985;-46.36265700303697;Direita;Granel Líquido;;;;;
SUZANO (ARM 32);-23.965733832459062;-46.30100138896649;Direita;Celulose;;;;;
SUZANO (VCP - ARM 13/14/15);-23.964834907546784;-46.301492065110914;;;;;;;
TEAÇU 1 - CPB;-23.94450516870909;-46.313980518385705;Direita;Granel Sólido Vegetal;;;;;
TEAÇU 2 - CPB;-23.94450516870909;-46.313980518385705;Direita;Granel Sólido Vegetal;;;;;
TEAÇU 3 - CPB;-23.94450516870909;-46.313980518385705;Direita;Granel Sólido Vegetal;;;;;
TEAG (ARM 33);-23.970945708846422;-46.27695384536292;Esquerda;Granel Sólido Vegetal;;;;;
TECONDI - TUP;-23.927996785231286;-46.33727044340278;;;;;;;
TEG;-23.973064203574317;-46.28499719588112;Esquerda;Granel Sólido Vegetal;;;;;
TEQUIMAR;-23.92431746899436;-46.362421452146926;Direita;Granel Líquido;;;;;
TERM. DOW - TPO;-23.976891606112652;-46.27341172007166;;;;;;;
TERM. MARIT. GUA;-23.970016021107938;-46.28672746541674;Esquerda;Fertilizantes;;;;;
TERMAG;-23.970016021107938;-46.28672746541674;Esquerda;Fertilizantes;;;;;
TERMARES;-23.925889689659318;-46.34548325360151;Direita;Multipropósito;;;;;
TERMINAL 12A;-23.934836963633884;-46.31492233485182;Direita;Granel Sólido Vegetal;;;;;
TERMINAL DE GRAO;-23.95391907876921;-46.3097986230359;Direita;Granel Sólido Vegetal;;;;;
TES;-23.9800477579275; -46.29313866696162;Direita;Granel Sólido Vegetal;;;;;
TEV;-23.957002920520054;-46.29167350577831;Esquerda;Carga Geral/Veículos;;;;;
TGG;-23.967532188718756;-46.2878947048904;Esquerda;Granel Sólido Vegetal;;;;;
TMV;-23.926199760603208;-46.34159365430589;;;;;;;
TRANSBRASA;-23.94668229970457;-46.341745729060314;;;;;;;
TRANSPETRO;-23.92507468214061;-46.36576639088672;Direita;Granel Líquido;;;;;
ULTRAFÉRTIL - TP;-23.85729965874073;-46.36087160019902;;;;;;;
USIMINAS;-23.87012661466557;-46.376775059288605;Cubatão;Multipropósito;;;;;
USIMINAS - TPF;-23.87012661466557;-46.376775059288605;Cubatão;Multipropósito;;;;;
VOPAK (ALAMOA);-23.9261608458887;-46.372896001677155;Direita;Granel Líquido;;;;;
VOPAK (ILHA);-23.921332330919082;-46.32456598741977;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
